22.0,105.0,205.0
22.0,109.0,217.0
22.0,119.0,219.0
22.0,123.0,211.0
22.0,125.0,209.0
22.0,128.0,205.0
22.0,134.0,200.0
22.0,139.0,197.0
22.0,135.0,202.0
22.0,138.0,209.0
22.0,138.0,205.0
23.0,135.0,196.0
23.0,136.0,190.0
23.0,135.0,190.0
25.0,133.0,192.0
24.0,130.0,207.0
24.0,127.0,221.0
26.0,126.0,222.0
24.0,123.0,219.0
24.0,120.0,214.0
22.0,116.0,204.0
23.0,113.0,215.0
25.0,118.0,223.0
26.0,113.0,224.0
28.0,114.0,226.0
33.0,112.0,237.0
35.0,109.0,239.0
39.0,106.0,237.0
45.0,103.0,240.0
52.0,103.0,238.0
53.0,100.0,240.0
67.0,98.0,246.0
76.0,96.0,253.0
85.0,95.0,261.0
99.0,93.0,266.0
110.0,93.0,271.0
122.0,94.0,277.0
134.0,93.0,273.0
147.0,99.0,265.0
159.0,107.0,284.0
173.0,109.0,283.0
196.0,120.0,297.0
871.0,778.0,971.0
929.0,839.0,1021.0
945.0,863.0,1023.0
954.0,874.0,1023.0
956.0,881.0,1020.0
921.0,886.0,943.0
893.0,890.0,894.0
353.0,326.0,343.0
391.0,461.0,391.0
430.0,570.0,433.0
460.0,661.0,452.0
488.0,743.0,461.0
511.0,811.0,446.0
532.0,864.0,424.0
551.0,906.0,401.0
564.0,945.0,369.0
578.0,971.0,343.0
588.0,981.0,329.0
595.0,981.0,321.0
600.0,981.0,324.0
607.0,981.0,343.0
611.0,981.0,329.0
615.0,981.0,331.0
617.0,981.0,326.0
617.0,981.0,360.0
621.0,981.0,381.0
624.0,981.0,408.0
617.0,981.0,428.0
614.0,981.0,449.0
610.0,981.0,468.0
604.0,981.0,474.0
599.0,981.0,527.0
593.0,975.0,536.0
584.0,967.0,528.0
577.0,955.0,568.0
570.0,944.0,595.0
560.0,935.0,620.0
552.0,921.0,642.0
543.0,910.0,664.0
533.0,900.0,666.0
524.0,887.0,684.0
514.0,872.0,698.0
502.0,862.0,709.0
492.0,846.0,729.0
480.0,831.0,746.0
467.0,821.0,760.0
455.0,803.0,772.0
443.0,793.0,786.0
426.0,780.0,792.0
411.0,765.0,811.0
395.0,753.0,812.0
378.0,741.0,803.0
361.0,719.0,827.0
345.0,714.0,827.0
326.0,701.0,828.0
308.0,685.0,871.0
290.0,675.0,842.0
270.0,658.0,842.0
253.0,646.0,838.0
232.0,626.0,843.0
210.0,617.0,847.0
191.0,603.0,847.0
174.0,588.0,838.0
158.0,575.0,836.0
144.0,559.0,854.0
132.0,545.0,861.0
121.0,532.0,876.0
113.0,520.0,866.0
109.0,508.0,869.0
108.0,495.0,862.0
107.0,481.0,863.0
108.0,466.0,856.0
110.0,453.0,851.0
110.0,444.0,858.0
113.0,431.0,869.0
117.0,419.0,839.0
119.0,407.0,841.0
122.0,396.0,834.0
125.0,385.0,830.0
127.0,370.0,830.0
131.0,361.0,824.0
134.0,351.0,823.0
135.0,336.0,823.0
139.0,324.0,816.0
141.0,313.0,810.0
141.0,300.0,803.0
143.0,291.0,791.0
145.0,277.0,809.0
144.0,270.0,791.0
146.0,262.0,773.0
146.0,253.0,765.0
147.0,240.0,768.0
147.0,235.0,732.0
150.0,226.0,730.0
148.0,219.0,744.0
150.0,212.0,710.0
147.0,206.0,712.0
143.0,201.0,705.0
141.0,194.0,687.0
136.0,188.0,679.0
128.0,184.0,671.0
123.0,180.0,659.0
115.0,172.0,655.0
106.0,171.0,648.0
100.0,169.0,636.0
93.0,162.0,622.0
87.0,157.0,613.0
81.0,154.0,601.0
76.0,150.0,595.0
71.0,143.0,588.0
65.0,140.0,581.0
61.0,136.0,564.0
57.0,130.0,564.0
54.0,128.0,554.0
50.0,127.0,541.0
48.0,122.0,535.0
45.0,119.0,529.0
43.0,118.0,516.0
41.0,113.0,511.0
40.0,109.0,502.0
38.0,109.0,488.0
36.0,106.0,468.0
35.0,104.0,457.0
37.0,103.0,449.0
35.0,103.0,439.0
34.0,100.0,432.0
32.0,101.0,419.0
31.0,102.0,411.0
30.0,100.0,405.0
30.0,101.0,392.0
31.0,103.0,371.0
31.0,102.0,361.0
